representative,party
NA,NA
NA,NA
Lewis,D
Coats,D
Crowley,D
"Collins, S",R
Cooke,D
Burkhalter,D
Smith,R
Huyek,R
NA,NA
NA,NA
Yorty,D
Hagen,D
Fleury,R
Moss,D
Davis,D
Lowrey,D
Kilpatrick,D
Bennett,D
Stanley,R
Babbage,R
Elliott,D
"Dills, R",D
Condon,D
Way,R
Lindsay,R
Cramer,R
Brown,D
"Dills, C",D
Beck,D
Rosenthal,D
Hahn,R
Morris,R
Reagan,R
Price,R
Brady,D
Meyers,D
Silliman,R
Kirkwood,R
Rumford,D
Lincoln,R
Doyle,D
Geddes,R
Burke,R
Luckel,R
Tomlinson,R
Levering,R
Gaffney,D
Berry,D
Thompson,R
Grunsky,R
Caldecott,R
Dunn,D
Stewart,R
Waters,R
Lipscomb,R
McMillan,D
Collier,R
Hinckley,R
"Collins, G",D
McCarthy,D
Connolly,R
Delwig,R
Clarke,R
Chrighton,D
Erwin,R
Butters,R
Evans,R
Niehouse,R
Conrad,R
Grant,R
Sherwin,R
Maloney,R
Heisinger,D
Hoffman,R
McCollister,R
Weber,R
Dickey,R
Hollibaugh,R
Hawkins,D
Anderson,D
Thomas,D
Fletcher,D
